Entity,Code,Year,Value of global merchandise exports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data),GDP per capita,900793-annotations,Population (historical),World regions according to OWID
Afghanistan,AFG,1956,21.65766,1278,NA,8454302,NA
Afghanistan,AFG,1957,28.71579,1253,NA,8588340,NA
Afghanistan,AFG,1958,16.64957,1298,NA,8723412,NA
Afghanistan,AFG,1959,20.0166,1307,NA,8869271,NA
Afghanistan,AFG,1960,12.42149,1326,NA,9035048,NA
Afghanistan,AFG,1961,9.72874,1309,NA,9214082,NA
Afghanistan,AFG,1962,10.77439,1302,NA,9404411,NA
Afghanistan,AFG,1963,9.95858,1298,NA,9604491,NA
Afghanistan,AFG,1964,8.8625,1291,NA,9814318,NA
Afghanistan,AFG,1965,6.96358,1290,NA,10036003,NA
Afghanistan,AFG,1966,5.96429,1272,NA,10266397,NA
Afghanistan,AFG,1967,3.96855,1277,NA,10505961,NA
Afghanistan,AFG,1968,6.26942,1290,NA,10756924,NA
Afghanistan,AFG,1969,5.81196,1278,NA,11017417,NA
Afghanistan,AFG,1970,4.83685,1272,NA,11290135,NA
Afghanistan,AFG,1971,5.45571,1237,NA,11567672,NA
Afghanistan,AFG,1972,7.80723,1007,NA,11853697,NA
Afghanistan,AFG,1973,9.174,1011,NA,12158000,NA
Afghanistan,AFG,1974,10.69562,1039,NA,12469127,NA
Afghanistan,AFG,1975,9.50117,1074,NA,12773967,NA
Afghanistan,AFG,1976,11.6737,1105,NA,13059861,NA
Afghanistan,AFG,1977,10.62746,1022,NA,13340758,NA
Afghanistan,AFG,1978,8.15624,1070,NA,13611445,NA
Afghanistan,AFG,1979,11.76371,1023,NA,13655572,NA
Afghanistan,AFG,1980,18.4109,1019,NA,13169312,NA
Afghanistan,AFG,1981,20.46122,1144,NA,11937587,NA
Afghanistan,AFG,1982,15.67759,1270,NA,10991382,NA
Afghanistan,AFG,1983,18.26656,1347,NA,10917986,NA
Afghanistan,AFG,1984,24.12348,1337,NA,11190220,NA
Afghanistan,AFG,1985,22.65282,1304,NA,11426855,NA
Afghanistan,AFG,1986,23.1738,1344,NA,11420074,NA
Afghanistan,AFG,1987,28.44586,1211,NA,11387824,NA
Afghanistan,AFG,1988,23.51688,1101,NA,11523299,NA
Afghanistan,AFG,1989,9.07692,999,NA,11874088,NA
Afghanistan,AFG,2001,3.77874,489.682,NA,20284303,NA
Afghanistan,AFG,2002,2.34351,796.8166,NA,21378123,NA
Afghanistan,AFG,2003,5.00757,842.8052,NA,22733054,NA
Afghanistan,AFG,2004,5.77055,869.03925,NA,23560656,NA
Afghanistan,AFG,2005,6.11945,964.4081,NA,24404574,NA
Afghanistan,AFG,2006,5.89436,1057.0966,NA,25424100,NA
Afghanistan,AFG,2007,4.61202,1259.9967,NA,25909852,NA
Afghanistan,AFG,2008,5.11368,1319.6074,NA,26482629,NA
Afghanistan,AFG,2009,3.93394,1557.3207,NA,27466101,NA
Afghanistan,AFG,2010,3.47335,1627.6716,NA,28284088,NA
Afghanistan,AFG,2011,2.88153,1792,NA,29347709,NA
Afghanistan,AFG,2012,2.68593,1945,NA,30560036,NA
Afghanistan,AFG,2013,3.31999,2025,NA,31622708,NA
Afghanistan,AFG,2014,3.66463,2022,NA,32792527,NA
Albania,ALB,1951,0.09615,1666,NA,1276364,NA
Albania,ALB,1955,6.26417,1882,NA,1418855,NA
Albania,ALB,1956,10.0231,1902,NA,1456823,NA
Albania,ALB,1957,14.24786,2023,NA,1497952,NA
Albania,ALB,1958,0.7472,2114,NA,1543981,NA
Albania,ALB,1959,0.38394,2201,NA,1595023,NA
Albania,ALB,1960,0.45688,2313,NA,1649393,NA
Albania,ALB,1961,0.37176,2332,NA,1698800,NA
Albania,ALB,1962,1.11595,2409,NA,1743738,NA
Albania,ALB,1963,2.03553,2491,NA,1791289,NA
Albania,ALB,1964,1.95936,2576,NA,1841445,NA
Albania,ALB,1965,1.5168,2670,NA,1894318,NA
Albania,ALB,1966,1.67922,2770,NA,1950047,NA
Albania,ALB,1967,1.65729,2876,NA,2008523,NA
Albania,ALB,1968,2.24506,2979,NA,2068849,NA
Albania,ALB,1969,1.97194,3080,NA,2126885,NA
Albania,ALB,1970,2.13133,3194,NA,2181227,NA
Albania,ALB,1971,3.14289,3322,NA,2234994,NA
Albania,ALB,1972,2.86366,3451,NA,2289267,NA
Albania,ALB,1973,3.81405,3623,NA,2344108,NA
Albania,ALB,1974,6.26233,3637,NA,2399398,NA
Albania,ALB,1975,6.7508,3649,NA,2454864,NA
Albania,ALB,1976,5.34975,3665,NA,2510582,NA
Albania,ALB,1977,6.37861,3681,NA,2566601,NA
Albania,ALB,1978,5.06614,3696,NA,2624621,NA
Albania,ALB,1979,10.0172,3716,NA,2681391,NA
Albania,ALB,1980,19.99049,3741,NA,2735423,NA
Albania,ALB,1981,18.19,3762,NA,2790413,NA
Albania,ALB,1982,15.58286,3783,NA,2846910,NA
Albania,ALB,1983,13.54859,3805,NA,2905129,NA
Albania,ALB,1984,12.02183,3826,NA,2964961,NA
Albania,ALB,1985,11.17384,3846,NA,3026245,NA
Albania,ALB,1986,14.62503,3870,NA,3087659,NA
Albania,ALB,1987,11.88796,3894,NA,3148843,NA
Albania,ALB,1988,13.90973,3920,NA,3212924,NA
Albania,ALB,1989,14.46736,3948,NA,3260370,NA
Albania,ALB,1990,11.78376,3983,NA,3277964,NA
Albania,ALB,1991,15.02941,2942.1006,NA,3282607,NA
Albania,ALB,1992,17.34592,2841.7651,NA,3282506,NA
Albania,ALB,1993,11.54502,3137.024,NA,3277830,NA
Albania,ALB,1994,8.83554,3399.7102,NA,3269417,NA
Albania,ALB,1995,9.82403,3666.6506,NA,3258571,NA
Albania,ALB,1996,9.24478,3965.6853,NA,3245681,NA
Albania,ALB,1997,10.97035,3526.9856,NA,3229665,NA
Albania,ALB,1998,10.33607,3873.373,NA,3210133,NA
Albania,ALB,1999,8.0701,4432.0425,NA,3188596,NA
Albania,ALB,2000,10.25662,4808.4795,NA,3166147,NA
Albania,ALB,2001,8.70942,5285.809,NA,3147941,NA
Albania,ALB,2002,7.94269,5608.9624,NA,3134094,NA
Albania,ALB,2003,8.10718,6004.645,NA,3118092,NA
Albania,ALB,2004,8.38121,6419.8706,NA,3098663,NA
Albania,ALB,2005,7.74527,6858.4673,NA,3076155,NA
Albania,ALB,2006,8.32368,7347.33,NA,3050804,NA
Albania,ALB,2007,9.51461,7866.1577,NA,3022887,NA
Albania,ALB,2008,10.41684,8522.13,NA,2992933,NA
Albania,ALB,2009,9.13642,8859.472,NA,2961487,NA
Albania,ALB,2010,13.03174,9222.973,NA,2928730,NA
Albania,ALB,2011,15.13863,9484,NA,2911500,NA
Albania,ALB,2012,15.98169,9634.334,NA,2910003,NA
Albania,ALB,2013,17.98306,9748.728,NA,2907570,NA
Albania,ALB,2014,17.61166,9942.276,NA,2903748,NA
Algeria,DZA,1950,26.81223,2176,NA,9018423,NA
Algeria,DZA,1951,26.56698,2147,NA,9269869,NA
Algeria,DZA,1952,25.85089,2193,NA,9521212,NA
Algeria,DZA,1953,23.13828,2182,NA,9772646,NA
Algeria,DZA,1954,22.22196,2291,NA,10014393,NA
Algeria,DZA,1955,24.33635,2303,NA,10247428,NA
Algeria,DZA,1956,19.05885,2475,NA,10482183,NA
Algeria,DZA,1957,18.81386,2699,NA,10717503,NA
Algeria,DZA,1958,18.47317,2740,NA,10953641,NA
Algeria,DZA,1959,14.15128,3178,NA,11189621,NA
Algeria,DZA,1960,22.44572,3328,NA,11424930,NA
Algeria,DZA,1961,29.51946,2868,NA,11628876,NA
Algeria,DZA,1962,40.55817,2284,NA,11800768,NA
Algeria,DZA,1963,27.28335,2818,NA,11982120,NA
Algeria,DZA,1964,27.12031,2879,NA,12179807,NA
Algeria,DZA,1965,24.4738,2981,NA,12365980,NA
Algeria,DZA,1966,27.70401,2750,NA,12590068,NA
Algeria,DZA,1967,25.73807,2907,NA,12876116,NA
Algeria,DZA,1968,24.66863,3151,NA,13172615,NA
Algeria,DZA,1969,23.56212,3355,NA,13475958,NA
Algeria,DZA,1970,21.80506,3585,NA,13783725,NA
Algeria,DZA,1971,17.56751,3188,NA,14098938,NA
Algeria,DZA,1972,19.03935,3746,NA,14427076,NA
Algeria,DZA,1973,21.67455,3757,NA,14771151,NA
Algeria,DZA,1974,35.4798,3870,NA,15133507,NA
Algeria,DZA,1975,30.21378,4020,NA,15678601,NA
Algeria,DZA,1976,30.09324,4157,NA,16409170,NA
Algeria,DZA,1977,29.6511,4398,NA,17015987,NA
Algeria,DZA,1978,26.38662,4812,NA,17506978,NA
Algeria,DZA,1979,30.85419,5088,NA,18036655,NA
Algeria,DZA,1980,36.89314,5024,NA,18607175,NA
Algeria,DZA,1981,34.39321,4991,NA,19220708,NA
Algeria,DZA,1982,30.35712,5145,NA,19872354,NA
Algeria,DZA,1983,27.51678,5243,NA,20558121,NA
Algeria,DZA,1984,24.94858,5361,NA,21271969,NA
Algeria,DZA,1985,22.94762,5469,NA,22008541,NA
Algeria,DZA,1986,13.27422,5262,NA,22745500,NA
Algeria,DZA,1987,13.94133,5088,NA,23443628,NA
Algeria,DZA,1988,15.12889,4850,NA,24109537,NA
Algeria,DZA,1989,18.00555,4889,NA,24754488,NA
Algeria,DZA,1990,21.86382,4697,NA,25375816,NA
Algeria,DZA,1991,28.69729,4708.232,NA,25987937,NA
Algeria,DZA,1992,25.14912,4850.223,NA,26628568,NA
Algeria,DZA,1993,22.4888,4816.924,NA,27277040,NA
Algeria,DZA,1994,23.45392,4856.9854,NA,27887276,NA
Algeria,DZA,1995,28.07633,5142.384,NA,28470194,NA
Algeria,DZA,1996,29.99978,5451.6343,NA,29033045,NA
Algeria,DZA,1997,31.92413,5638.48,NA,29579300,NA
Algeria,DZA,1998,24.80063,6069.7773,NA,30054135,NA
Algeria,DZA,1999,27.82548,6421.5083,NA,30474359,NA
Algeria,DZA,2000,42.03765,6834.5537,NA,30903895,NA
Algeria,DZA,2001,40.02446,7218.2456,NA,31331226,NA
Algeria,DZA,2002,37.43042,7814.8384,NA,31750833,NA
Algeria,DZA,2003,40.45809,8590.178,NA,32175813,NA
Algeria,DZA,2004,41.29974,9182.294,NA,32628286,NA
Algeria,DZA,2005,46.97941,9969.623,NA,33109258,NA
Algeria,DZA,2006,51.4679,10385.779,NA,33623505,NA
Algeria,DZA,2007,47.18079,10974.742,NA,34189420,NA
Algeria,DZA,2008,49.11692,11475.002,NA,34816962,NA
Algeria,DZA,2009,34.84475,11907.021,NA,35490443,NA
Algeria,DZA,2010,35.39084,12587.744,NA,36188236,NA
Algeria,DZA,2011,36.74575,13204,NA,36903375,NA
Algeria,DZA,2012,34.37871,13392.944,NA,37646164,NA
Algeria,DZA,2013,31.45064,13508.265,NA,38414176,NA
Algeria,DZA,2014,29.49998,13760.384,NA,39205035,NA
Angola,AGO,1975,24.11183,1710,NA,6842951,NA
Angola,AGO,1976,16.54233,1521,NA,7074668,NA
Angola,AGO,1977,18.02712,1500,NA,7317836,NA
Angola,AGO,1978,19.78358,1530,NA,7576742,NA
Angola,AGO,1979,22.82086,1527,NA,7847208,NA
Angola,AGO,1980,25.62903,1532,NA,8133868,NA
Angola,AGO,1981,23.8114,1471,NA,8435604,NA
Angola,AGO,1982,20.17248,1374,NA,8751653,NA
Angola,AGO,1983,28.88499,1288,NA,9082985,NA
Angola,AGO,1984,51.61231,1259,NA,9425922,NA
Angola,AGO,1985,55.05719,1242,NA,9779125,NA
Angola,AGO,1986,33.35825,1106,NA,10139458,NA
Angola,AGO,1987,40.30965,1211,NA,10497864,NA
Angola,AGO,1988,41.3822,1360,NA,10861301,NA
Angola,AGO,1989,31.62478,1360,NA,11238562,NA
Angola,AGO,1990,41.39008,1384,NA,11626359,NA
Angola,AGO,1991,23.58351,1437.1472,NA,12023533,NA
Angola,AGO,1992,37.54907,1389.3295,NA,12423717,NA
Angola,AGO,1993,31.41075,1080.4806,NA,12827135,NA
Angola,AGO,1994,30.90104,1120.8481,NA,13249762,NA
Angola,AGO,1995,75.52266,1319.1589,NA,13699780,NA
Angola,AGO,1996,65.57774,1533.9839,NA,14170973,NA
Angola,AGO,1997,60.71386,1687.3177,NA,14660420,NA
Angola,AGO,1998,54.4513,1811.1681,NA,15159377,NA
Angola,AGO,1999,73.53621,1899.4152,NA,15667234,NA
Angola,AGO,2000,84.84605,2013.6362,NA,16194872,NA
Angola,AGO,2001,70.83051,2162.485,NA,16747204,NA
Angola,AGO,2002,58.76295,2522.6719,NA,17327701,NA
Angola,AGO,2003,60.58094,2711.9282,NA,17943717,NA
Angola,AGO,2004,61.12993,3064.2986,NA,18600426,NA
Angola,AGO,2005,75.24806,3708.7705,NA,19291161,NA
Angola,AGO,2006,72.67997,4592.3374,NA,20015280,NA
Angola,AGO,2007,64.94651,5773.5483,NA,20778569,NA
Angola,AGO,2008,78.95184,6743.748,NA,21578655,NA
Angola,AGO,2009,51.08056,7087.604,NA,22414774,NA
Angola,AGO,2010,60.82996,7520.6655,NA,23294821,NA
Angola,AGO,2011,57.43282,8016,NA,24218358,NA
Angola,AGO,2012,58.12221,8376.946,NA,25177399,NA
Angola,AGO,2013,53.05933,8463.942,NA,26165616,NA
Angola,AGO,2014,48.72895,8548.293,NA,27160766,NA
Argentina,ARG,1884,50.88217,3486,NA,2785560,NA
Argentina,ARG,1885,39.77808,3904,NA,2874534,NA
Argentina,ARG,1886,33.90013,3771,NA,2966350,NA
Argentina,ARG,1887,29.56157,3841,NA,3061098,NA
Argentina,ARG,1888,36.68337,4219,NA,3158873,NA
Argentina,ARG,1889,27.6831,4288,NA,3260729,NA
Argentina,ARG,1890,19.53098,3851,NA,3366831,NA
Argentina,ARG,1891,15.0927,3631,NA,3477345,NA
Argentina,ARG,1892,16.67359,4251,NA,3592446,NA
Argentina,ARG,1893,19.77861,4409,NA,3712318,NA
Argentina,ARG,1894,19.81306,4968,NA,3836189,NA
Argentina,ARG,1895,20.82457,5384,NA,3964194,NA
Argentina,ARG,1896,24.89083,5716,NA,4096469,NA
Argentina,ARG,1897,18.36303,4500,NA,4233159,NA
Argentina,ARG,1898,21.67936,4741,NA,4374409,NA
Argentina,ARG,1899,28.73039,5412,NA,4524892,NA
Argentina,ARG,1900,21.50486,4583,NA,4685089,NA
Argentina,ARG,1901,25.05016,4591,NA,4855502,NA
Argentina,ARG,1902,23.5249,4331,NA,5036658,NA
Argentina,ARG,1903,29.23984,4769,NA,5229108,NA
Argentina,ARG,1904,29.16481,5086,NA,5428911,NA
Argentina,ARG,1905,28.21129,5545,NA,5636349,NA
Argentina,ARG,1906,22.6334,5608,NA,5851713,NA
Argentina,ARG,1907,24.16233,5514,NA,6075305,NA
Argentina,ARG,1908,28.09356,5829,NA,6307441,NA
Argentina,ARG,1909,24.71718,5896,NA,6532092,NA
Argentina,ARG,1910,21.25003,6092,NA,6748544,NA
Argentina,ARG,1911,20.0443,5971,NA,6956048,NA
Argentina,ARG,1912,28.03537,6223,NA,7153812,NA
Argentina,ARG,1913,27.13858,6052,NA,7341005,NA
Argentina,ARG,1914,21.33198,5263,NA,7533097,NA
Argentina,ARG,1915,27.75358,5171,NA,7730214,NA
Argentina,ARG,1916,24.46359,4927,NA,7932490,NA
Argentina,ARG,1917,22.92474,4447,NA,8140058,NA
Argentina,ARG,1918,24.98582,5177,NA,8354021,NA
Argentina,ARG,1919,30.86607,5271,NA,8579951,NA
Argentina,ARG,1920,29.77691,5536,NA,8818354,NA
Argentina,ARG,1921,20.54032,5533,NA,9069751,NA
Argentina,ARG,1922,20.50584,5796,NA,9334686,NA
Argentina,ARG,1923,20.52366,6213,NA,9613722,NA
Argentina,ARG,1924,36.22183,6464,NA,9901098,NA
Argentina,ARG,1925,21.32206,6247,NA,10197065,NA
Argentina,ARG,1926,19.68789,6366,NA,10501879,NA
Argentina,ARG,1927,23.83369,6625,NA,10815805,NA
Argentina,ARG,1928,22.66806,6840,NA,11139114,NA
Argentina,ARG,1929,20.02517,6961,NA,11443159,NA
Argentina,ARG,1930,13.94808,6503,NA,11726853,NA
Argentina,ARG,1931,18.03846,5917,NA,11989069,NA
Argentina,ARG,1932,17.77997,5614,NA,12228636,NA
Argentina,ARG,1933,14.14342,5772,NA,12444339,NA
Argentina,ARG,1934,16.59468,6129,NA,12663847,NA
Argentina,ARG,1935,16.88294,6296,NA,12887227,NA
Argentina,ARG,1936,16.15637,6236,NA,13114548,NA
Argentina,ARG,1937,19.32356,6575,NA,13345878,NA
Argentina,ARG,1938,12.25065,6491,NA,13581288,NA
Argentina,ARG,1939,13.30596,6612,NA,13825464,NA
Argentina,ARG,1940,11.61915,6633,NA,14078649,NA
Argentina,ARG,1941,10.96011,6861,NA,14341093,NA
Argentina,ARG,1942,11.7108,6829,NA,14613051,NA
Argentina,ARG,1943,13.54663,6666,NA,14894786,NA
Argentina,ARG,1944,7.27198,7299,NA,15181952,NA
Argentina,ARG,1945,11.83266,6943,NA,15474655,NA
Argentina,ARG,1946,14.39847,7436,NA,15773001,NA
Argentina,ARG,1947,16.16381,8112,NA,16077098,NA
Argentina,ARG,1948,20.9431,8372,NA,16387059,NA
Argentina,ARG,1949,18.25442,8045,NA,16700599,NA
Argentina,ARG,1950,24.42767,7949,NA,17018034,NA
Argentina,ARG,1951,19.0571,8086,NA,17356465,NA
Argentina,ARG,1952,8.2176,7519,NA,17698882,NA
Argentina,ARG,1953,11.57096,7769,NA,18041299,NA
Argentina,ARG,1954,10.1444,7938,NA,18381211,NA
Argentina,ARG,1955,21.96219,8348,NA,18716035,NA
Argentina,ARG,1956,18.60938,8424,NA,19049972,NA
Argentina,ARG,1957,15.64883,8705,NA,19383045,NA
Argentina,ARG,1958,19.08313,9083,NA,19714264,NA
Argentina,ARG,1959,11.4593,8354,NA,20049605,NA
Argentina,ARG,1960,9.50672,8861,NA,20386054,NA
Argentina,ARG,1961,6.96816,9344,NA,20726278,NA
Argentina,ARG,1962,9.75147,9049,NA,21072543,NA
Argentina,ARG,1963,8.17852,8695,NA,21421703,NA
Argentina,ARG,1964,5.89963,9446,NA,21769451,NA
Argentina,ARG,1965,5.58186,10155,NA,22112635,NA
Argentina,ARG,1966,5.92047,10076,NA,22453898,NA
Argentina,ARG,1967,7.02346,10200,NA,22799062,NA
Argentina,ARG,1968,5.91871,10485,NA,23150579,NA
Argentina,ARG,1969,5.85308,11217,NA,23508715,NA
Argentina,ARG,1970,6.54746,11639,NA,23878331,NA
Argentina,ARG,1971,5.90911,12003,NA,24257211,NA
Argentina,ARG,1972,6.18667,12170,NA,24644332,NA
Argentina,ARG,1973,6.68895,12691,NA,25046008,NA
Argentina,ARG,1974,5.70839,13284,NA,25461353,NA
Argentina,ARG,1975,5.85713,12946,NA,25874106,NA
Argentina,ARG,1976,7.75622,12696,NA,26282282,NA
Argentina,ARG,1977,10.02706,13236,NA,26701814,NA
Argentina,ARG,1978,11.43576,12444,NA,27132164,NA
Argentina,ARG,1979,11.82257,13114,NA,27568894,NA
Argentina,ARG,1980,10.42703,13080,NA,28011596,NA
Argentina,ARG,1981,12.71847,12125,NA,28463957,NA
Argentina,ARG,1982,10.0918,11550,NA,28924269,NA
Argentina,ARG,1983,8.36373,11775,NA,29391333,NA
Argentina,ARG,1984,11.38883,11837,NA,29863091,NA
Argentina,ARG,1985,10.83797,10895,NA,30336448,NA
Argentina,ARG,1986,7.08226,11515,NA,30811983,NA
Argentina,ARG,1987,6.96218,11633,NA,31291764,NA
Argentina,ARG,1988,8.23785,11244,NA,31780533,NA
Argentina,ARG,1989,15.30207,10393,NA,32270958,NA
Argentina,ARG,1990,9.41384,10254,NA,32755907,NA
Argentina,ARG,1991,7.65349,11223.984,NA,33230292,NA
Argentina,ARG,1992,5.6655,12267.084,NA,33693532,NA
Argentina,ARG,1993,5.76502,12926.795,NA,34152718,NA
Argentina,ARG,1994,6.49645,13571.38,NA,34613491,NA
Argentina,ARG,1995,8.29102,13086.036,NA,35070016,NA
Argentina,ARG,1996,9.11852,13715.227,NA,35513794,NA
Argentina,ARG,1997,9.08848,14722.6455,NA,35947790,NA
Argentina,ARG,1998,9.12288,15185.959,NA,36372863,NA
Argentina,ARG,1999,8.60348,14577.832,NA,36794686,NA
Argentina,ARG,2000,9.57567,14368.942,NA,37213985,NA
Argentina,ARG,2001,10.47025,13651.981,NA,37624818,NA
Argentina,ARG,2002,28.16442,12094.772,NA,38029346,NA
Argentina,ARG,2003,25.16316,13088.565,NA,38424284,NA
Argentina,ARG,2004,21.41659,14183.226,NA,38815915,NA
Argentina,ARG,2005,20.08573,15344.157,NA,39216787,NA
Argentina,ARG,2006,18.83837,16490.473,NA,39622113,NA
Argentina,ARG,2007,18.94835,17891.943,NA,40016766,NA
Argentina,ARG,2008,19.60466,18520.305,NA,40424149,NA
Argentina,ARG,2009,15.74389,17328.977,NA,40854832,NA
Argentina,ARG,2010,15.33964,18979.992,NA,41288694,NA
Argentina,ARG,2011,15.38905,20003,NA,41730655,NA
Argentina,ARG,2012,14.14788,19573.963,NA,42161718,NA
Argentina,ARG,2013,13.17487,19821.643,NA,42582454,NA
Argentina,ARG,2014,13.49257,19112.232,NA,43024072,NA
Armenia,ARM,1993,14.25623,4130.1475,NA,3453338,NA
Armenia,ARM,1994,18.37885,4392.98,NA,3364620,NA
Armenia,ARM,1995,24.30864,4703.131,NA,3307585,NA
Armenia,ARM,1996,18.17913,4811.4897,NA,3278738,NA
Armenia,ARM,1997,15.21879,4836.0444,NA,3246292,NA
Armenia,ARM,1998,11.64455,4994.053,NA,3208400,NA
Armenia,ARM,1999,12.5533,5000.4526,NA,3167282,NA
Armenia,ARM,2000,15.71949,5139.8257,NA,3125630,NA
Armenia,ARM,2001,16.12637,5457.5103,NA,3084350,NA
Armenia,ARM,2002,21.22903,6082.146,NA,3055635,NA
Armenia,ARM,2003,24.42409,6743.241,NA,3038976,NA
Armenia,ARM,2004,20.21215,7229.6484,NA,3022544,NA
Armenia,ARM,2005,19.87404,8006.9604,NA,3006360,NA
Armenia,ARM,2006,15.4298,8798.75,NA,2990371,NA
Armenia,ARM,2007,12.51643,9713.213,NA,2974825,NA
Armenia,ARM,2008,9.06497,10080.8125,NA,2959996,NA
Armenia,ARM,2009,8.06886,8399.087,NA,2945518,NA
Armenia,ARM,2010,11.24209,8330.812,NA,2931083,NA
Armenia,ARM,2011,13.15643,8465,NA,2923267,NA
Armenia,ARM,2012,13.44832,9076.433,NA,2922528,NA
Armenia,ARM,2013,13.30787,9395.087,NA,2922528,NA
Armenia,ARM,2014,13.46885,9745.136,NA,2922433,NA
Australia,AUS,1827,6.66667,1030,NA,331195,NA
Australia,AUS,1828,5.88235,1057,NA,330797,NA
Australia,AUS,1829,10.52632,1114,NA,332089,NA
Australia,AUS,1830,9.09091,1352,NA,335111,NA
Australia,AUS,1831,17.3913,1398,NA,339904,NA
Australia,AUS,1832,20.83333,1428,NA,346508,NA
Australia,AUS,1833,17.85714,1435,NA,354966,NA
Australia,AUS,1834,21.05263,1508,NA,363631,NA
Australia,AUS,1835,17.64706,1825,NA,372507,NA
Australia,AUS,1836,18.86792,1793,NA,381599,NA
Australia,AUS,1837,17.85714,1881,NA,390914,NA
Australia,AUS,1838,18.64407,1857,NA,400456,NA
Australia,AUS,1839,14.28571,1733,NA,411303,NA
Australia,AUS,1840,17.44186,2190,NA,423526,NA
Australia,AUS,1841,18.57143,1868,NA,437202,NA
Australia,AUS,1842,20.63492,1704,NA,452407,NA
Australia,AUS,1843,22.0339,1975,NA,469223,NA
Australia,AUS,1844,20.96774,2246,NA,486665,NA
Australia,AUS,1845,23.61111,2310,NA,504755,NA
Australia,AUS,1846,22.22222,2554,NA,523518,NA
Australia,AUS,1847,25.5814,2954,NA,542978,NA
Australia,AUS,1848,22.77228,3381,NA,563161,NA
Australia,AUS,1849,23.76238,3339,NA,589474,NA
Australia,AUS,1850,23.07692,3148,NA,622584,NA
Australia,AUS,1851,19.70803,3736,NA,663068,NA
Australia,AUS,1852,36.09272,4382,NA,711848,NA
Australia,AUS,1853,32.72727,4798,NA,769782,NA
Australia,AUS,1854,26.93798,4202,NA,832431,NA
Australia,AUS,1855,29.66601,3988,NA,900179,NA
Australia,AUS,1856,31.27413,4866,NA,973440,NA
Australia,AUS,1857,29.37956,4294,NA,1052664,NA
Australia,AUS,1858,25.88652,3661,NA,1138335,NA
Australia,AUS,1859,27.82324,4728,NA,1217207,NA
Australia,AUS,1860,25.31447,4613,NA,1288324,NA
Australia,AUS,1861,26.97674,4544,NA,1350642,NA
Australia,AUS,1862,26.63552,4368,NA,1403020,NA
Australia,AUS,1863,29.47702,4352,NA,1444212,NA
Australia,AUS,1864,28.61539,4616,NA,1486613,NA
Australia,AUS,1865,29.46565,4403,NA,1530259,NA
Australia,AUS,1866,27.42616,4532,NA,1575186,NA
Australia,AUS,1867,24.65181,4956,NA,1621432,NA
Australia,AUS,1868,26.53595,5031,NA,1669036,NA
Australia,AUS,1869,25.91623,4932,NA,1715197,NA
Australia,AUS,1870,22.52142,5217,NA,1759814,NA
Australia,AUS,1871,29.20918,5259,NA,1802779,NA
Australia,AUS,1872,28.09829,5663,NA,1843982,NA
Australia,AUS,1873,22.75229,6095,NA,1883307,NA
Australia,AUS,1874,24.36364,6113,NA,1923471,NA
Australia,AUS,1875,21.76471,6596,NA,1964491,NA
Australia,AUS,1876,21.69492,6387,NA,2006386,NA
Australia,AUS,1877,21.25,6433,NA,2049174,NA
Australia,AUS,1878,19.84127,6817,NA,2092875,NA
Australia,AUS,1879,17.2093,6703,NA,2143490,NA
Australia,AUS,1880,22.164180000000002,6830,NA,2201376,NA
Australia,AUS,1881,18.94366,7101,NA,2266902,NA
Australia,AUS,1882,19.39189,6476,NA,2340455,NA
Australia,AUS,1883,19.09091,7133,NA,2422437,NA
Australia,AUS,1884,17.03704,6861,NA,2507291,NA
Australia,AUS,1885,15.20231,7049,NA,2595117,NA
Australia,AUS,1886,12.235290000000001,6900,NA,2686019,NA
Australia,AUS,1887,12.45791,7383,NA,2780105,NA
Australia,AUS,1888,14.9741,7179,NA,2877486,NA
Australia,AUS,1889,13.94009,7567,NA,2968103,NA
Australia,AUS,1890,14.23366,7106,NA,3051532,NA
Australia,AUS,1891,17.75495,7438,NA,3127332,NA
Australia,AUS,1892,19.51479,6368,NA,3195043,NA
Australia,AUS,1893,21.71586,5910,NA,3254185,NA
Australia,AUS,1894,21.71021,6003,NA,3314421,NA
Australia,AUS,1895,23.86123,5558,NA,3375772,NA
Australia,AUS,1896,20.6022,5874,NA,3438259,NA
Australia,AUS,1897,24.6945,5451,NA,3501902,NA
Australia,AUS,1898,22.56439,6202,NA,3566723,NA
Australia,AUS,1899,26.85029,6121,NA,3630550,NA
Australia,AUS,1900,24.31581,6397,NA,3693331,NA
Australia,AUS,1901,26.15588,6119,NA,3755013,NA
Australia,AUS,1902,19.82031,6094,NA,3815541,NA
Australia,AUS,1903,22.75503,6497,NA,3874858,NA
Australia,AUS,1904,25.73816,6846,NA,3935097,NA
Australia,AUS,1905,25.72845,6825,NA,3996273,NA
Australia,AUS,1906,29.18853,7184,NA,4058399,NA
Australia,AUS,1907,26.50653,7358,NA,4121490,NA
Australia,AUS,1908,23.72225,7481,NA,4185562,NA
Australia,AUS,1909,21.90304,7940,NA,4254685,NA
Australia,AUS,1910,22.99431,8305,NA,4329018,NA
Australia,AUS,1911,22.163,8136,NA,4408726,NA
Australia,AUS,1912,20.63767,8126,NA,4493975,NA
Australia,AUS,1913,18.69219,8220,NA,4584938,NA
Australia,AUS,1914,13.6401,8013,NA,4677743,NA
Australia,AUS,1915,17.43579,7806,NA,4772426,NA
Australia,AUS,1916,19.84991,7775,NA,4869025,NA
Australia,AUS,1917,15.44728,7637,NA,4967579,NA
